address,city,districd,lat,lon,name,province,street,town
安徽省马鞍山市和县历阳镇陋室西街台铃专卖店,马鞍山市,和县,31.748243815854266,118.35951254887343,和县台铃,安徽省,,
马鞍山市雨山一区红旗北路551号,哈尔滨市,道外区,45.796094119695994,126.65416082325429,市辖区台铃,黑龙江省,,
