address,area,city,lat,lng,name,province
金城镇江南路金城商业广场西100米,金坛区,常州市,119.560541,31.746525,绿源电动车(江南路店),江苏省
凤凰路与湖景大道交叉口西南100米,赣榆区,连云港市,118.845517,34.818689,绿源电动车(欢墩店),江苏省
京杭南路20号306-1号,广陵区,扬州市,119.482416,32.386359,绿源电动车(滨河路店),江苏省
挹江门街道铁路北街75号,鼓楼区,南京市,118.760152,32.083944,绿源电动车(铁路北街店),江苏省
尧塘镇幸福路26号,金坛区,常州市,119.683413,31.721996,绿源电动车(尧塘店),江苏省
尹桥路与陈铸大街交叉口东北50米,滨海县,盐城市,119.880309,33.830880,绿源电动车(陈铸店),江苏省
兴淮东路与教育路交叉口西南50米,滨海县,盐城市,120.097593,34.194776,绿源电动车(滨淮店),江苏省
海德公园北门,邗江区,扬州市,119.397117,32.405773,绿源电动车(柳馨花园店),江苏省
海门工业园区管理委员会天补小三姐车行,海门市,南通市,121.118450,31.924466,绿源电动车(天补店),江苏省
工农路与府前路交叉口北100米,高港区,泰州市,119.973959,32.357308,绿源电动车(大泗专卖店),江苏省
善桥北路12号朝发电机厂2栋302室,雨花台区,南京市,118.730933,31.972814,绿源电动车(明豪花园西北),江苏省
兴阳南路西50米附近,射阳县,盐城市,120.231751,33.667189,绿源电动车(大阳电动车),江苏省
人民北路与益林大道交叉口西南50米,阜宁县,盐城市,119.605037,33.596545,绿源电动车(益林店),江苏省
人民路58号,句容市,镇江市,119.190208,32.168329,绿源电动车(下蜀店),江苏省
大泗镇泗白路旺旺购物广场东北100米,高港区,泰州市,119.980878,32.357689,绿源电动车(大泗专卖店),江苏省
刘集镇通扬路79号正高电器,仪征市,扬州市,119.259461,32.429605,绿源电动车(刘集店),江苏省
广陵路与项侯路交叉口西150米,宝应县,扬州市,119.617730,33.304104,绿源电动车(射阳镇店),江苏省
金湾南路与金湾路交叉口东南100米,宝应县,扬州市,119.355693,33.235859,绿源电动车(府前嘉园社区服务店),江苏省
城西北路东50米,淮安区,淮安市,119.136894,33.538942,绿源电动车(城西北路店),江苏省
高新技术产业园玉树路文鼎雅苑16栋,江宁区,南京市,118.912802,31.909880,绿源电动车(玉树路店),江苏省
鹿鸣路1555号,盐都区,盐城市,120.097926,33.323535,绿源电动车(鹿鸣路),江苏省
盐海路与鹤翔南路交叉口西南150米,亭湖区,盐城市,120.369420,33.476513,绿源电动车(盐东专卖店),江苏省
人民中路128号,射阳县,盐城市,120.200733,33.538633,绿源电动车(盘湾店),江苏省
大元街西50米,江宁区,南京市,118.639942,31.785661,绿源电动车(古寺街店),江苏省
西大街,句容市,镇江市,119.205016,31.741720,绿源电动车(天王店),江苏省
中心南路17号附近,阜宁县,盐城市,119.641540,33.612024,绿源电动车(东沟专卖店),江苏省
光华路街道海福巷3号,秦淮区,南京市,118.836068,32.019178,绿源电动车(海福巷店),江苏省
004县道与208县道交叉口东100米,海安市,南通市,120.284525,32.592149,绿源电动车(南莫店),江苏省
越城西路109号,吴中区,苏州市,120.590599,31.208827,绿源电动车(越城西店),江苏省
金箔路469号,江宁区,南京市,118.852628,31.946543,绿源电动车(苗圃路),江苏省
金鑫西路与锦金路交叉口西北50米,吴江区,苏州市,120.778961,31.094640,绿源电动车(金家坝店),江苏省
仙女镇长江路103号,江都区,扬州市,119.581600,32.423261,绿源电动车(江都店),江苏省
东花园东路38号,广陵区,扬州市,119.459758,32.380558,绿源电动车(施井路店),江苏省
沙子沟农贸市场,六合区,南京市,118.877758,32.288989,绿源电动车(沙子沟店),江苏省
固城镇人民南路133号,高淳区,南京市,118.971801,31.303617,绿源电动车(固城专卖店),江苏省
花园浜公交站台旁,常熟市,苏州市,120.723058,31.623521,绿源电动车(元和路),江苏省
大岛路与震蒙大道交叉口东北50米,海门市,南通市,121.087033,31.965493,绿源电动车(叠石桥店),江苏省
边城镇东昌镇桥东,句容市,镇江市,119.304104,32.053604,绿源电动车(东昌店),江苏省
龙潭街道府前路31号,栖霞区,南京市,119.055840,32.173597,绿源电动车(小圩专卖店),江苏省
圣泉街84号附近,赣榆区,连云港市,118.869945,34.903851,绿源电动车(夹山店),江苏省
海堤线佳乐超市西南20米,射阳县,盐城市,120.393201,33.732953,绿源电动车(黄沙河店),江苏省
洞庭山商务中心(洞庭路北),吴中区,苏州市,120.412488,31.082263,绿源电动车(东山店),江苏省
龙冈镇盐兴中路73号,盐都区,盐城市,120.042310,33.358620,绿源电动车(龙冈专卖店),江苏省
东山大道2769号附近,吴中区,苏州市,120.465977,31.122320,绿源电动车(临湖店),江苏省
曲江街道观潮路曲江新苑西北200米,广陵区,扬州市,119.467245,32.410289,绿源电动车(江海店),江苏省
裴圩镇黄圩街黄圩小学门西50米,泗阳县,宿迁市,118.754761,33.486552,绿源电动车(黄圩店),江苏省
王川线南50米,海门市,南通市,121.255396,31.970279,绿源电动车(平山店),江苏省
