add_time,area,date,name,price
2019-10-30,上海,2019-10-29,还原铅(97%),14625
2019-10-30,安徽,2019-10-29,还原铅(97%),14200
2019-10-30,华东,2019-10-30,MDI(44V20、M20S),11700
