area,date,name,price
上海,2019-06-06,SMM 1#电解铜,46040
上海,2019-06-06,SMM A00铝,14060
上海,2019-06-06,SMM 1#铅锭,16125
上海,2019-06-06,SMM 0#锌锭,20860
上海,2019-06-06,SMM 1#电解镍,95975
