add_time,area,date,name,price
2019-08-21,上海,2019-08-21,SMM 1#电解铜,46395
2019-08-21,上海,2019-08-21,SMM A00铝,14320
2019-08-21,上海,2019-08-21,SMM 1#铅锭,16875
2019-08-21,上海,2019-08-21,SMM 0#锌锭,18720
2019-08-21,上海,2019-08-21,SMM 1#电解镍,123800
